date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
10/24/2025,"Laura","With a partner, complete as many rounds as possible in 21 minutes of:30-cal. row20 burpees over the rower10 power cleans♀ 105 lb. ♂ 155 lb.",4.011,"4+11","Rounds + Reps","","[{""rnds"":4,""reps"":11}]","85 lb power clean",SCALED,PR
10/27/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm6:30 pm Power Hour",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
10/27/2025,"Deadlift 5x2","Deadlift for load: #1: 2 reps #2: 2 reps #3: 2 reps #4: 2 reps #5: 2 reps   Stimulus: Difficult, but DOABLE (option: last 2 sets if you feel good and want to push add weight) NO FAIL SETS RPE: 8 (RPE difinition is in the Athletes notes) Rest 1-1:30 min",185,"185","Load","Deadlift","[{""load"":155,""success"":true},{""load"":155,""success"":true},{""load"":185,""success"":true},{""load"":185,""success"":true},{""load"":185,""success"":true}]","",RX,PR
10/27/2025,"Romanian Deadlift 3x4","Romanian Deadlift for load:  (Also known as a STIFF Leg DL) #1: 4 reps #2: 4 reps #3: 4 reps  Superset: 10/10 Windsheild wiper 10/10 Single DB Single leg Bent Knee Calf Raises (off of 25lb plate)Rest 1min",125,"125","Load","Romanian Deadlift","[{""load"":125,""success"":true},{""load"":125,""success"":true},{""load"":125,""success"":true}]","",SCALED,PR
10/27/2025,"Deficit DB Bulgarian Split Squats 3x7","Deficit DB Bulgarian Split Squats for load: (Plate under the front and rear foot) #1: 7 reps (7R/7L) #2: 7 reps #3: 7 reps ** *Goal is DEPTH with LOAD**  Superset: 30 second Isometric Calf Raise HOLD off a Plate 30 second Hollow Hold 1 min Rest:",20,"20","Load","DB Bulgarian Split Squats","[{""load"":20,""success"":true},{""load"":20,""success"":true},{""load"":20,""success"":true}]","",SCALED,
10/29/2025,"Bikes and Snatch","10 Rounds for Time10 Cal Bike10 Alt.DB Snatches (50/35)10 Toes-To-Bar",1571,"26:11","","","[{""secs"":11,""mins"":26}]","20 lb snatch Knee ups ",SCALED,
10/29/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm6:30 pm Power Hour",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
11/11/2025,"Push-up: MAX REPS","Push-Ups: Max Reps2 Big Set:Full Range of Motions you can pause at the top if you need to, but fight for as many as you can at each time.2 min REST then one more time",10,"10","Reps","","[{""reps"":10},{""reps"":10}]","",RX,
11/11/2025,"Push Press 3x5","Push Press for load: (DROP SET) #1: 5 reps #2: 5 reps #3: 5 reps  Superset: **(GET AFTER this part! This is where the magic happens)** 5/5 Strict Single DB Press (smooth down and SPEED up) 10 DB Pull over off the bench (the lower you get that DB to the floor, the more the lats have to load)  1 min Rest between sets. RPE: @7Preform: 3 sets of a Drop Set:Immediately reduce the weight by 10-30 pounds (SAME a weight for all 3 sets)",75,"75","Load","Push Press","[{""load"":75,""success"":true},{""load"":75,""success"":true},{""load"":75,""success"":true}]","",SCALED,PR
11/11/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
11/11/2025,"Alt. DB Bench","4 sets: 10 reps (each side)Super Set: :30 Double KB Bottoms-up HOLDS*Rest 1:00-1:30 b/t sets",25,"25","Load","Alt. Incline DB Bench","[{""load"":25,""success"":true},{""load"":25,""success"":true},{""load"":25,""success"":true},{""load"":25,""success"":true}]","",RX,
11/11/2025,"Push Press 5x2","Push Press for load: #1: 2 reps #2: 2 reps #3: 2 reps #4: 2 reps #5: 2 reps Stimulus: Difficult, but doable NO FAIL SETSRPE: 8 (RPR definition is in Athletes Notes)Rest: 1 min",100,"100","Load","Push Press","[{""load"":95,""success"":true},{""load"":95,""success"":true},{""load"":95,""success"":true},{""load"":100,""success"":true},{""load"":100,""success"":true}]","",SCALED,PR
11/13/2025,"Deadlift 6x1","Deadlift for load: #1: 1 rep #2: 1 rep #3: 1 rep #4: 1 rep #5: 1 rep #6: 1 rep",215,"215","Load","Deadlift","[{""load"":215,""success"":true},{""load"":215,""success"":true},{""load"":215,""success"":true},{""load"":215,""success"":true},{""load"":215,""success"":true},{""load"":215,""success"":true}]","",RX,PR
11/13/2025,"Romanian Deadlift 4x3","Romanian Deadlift for load: #1: 3 reps #2: 3 reps #3: 3 reps #4: 3 reps  Superset: 10 Hanging Knee raise off the rig 20 Single DB Calf Raise from a 45lb plate or short box (lets get full range of motion) Hold the rig if your balance needs support so you can focus on the CALVES! Rest 1min",165,"165","Load","Romanian Deadlift","[{""load"":165,""success"":true},{""load"":165,""success"":true},{""load"":165,""success"":true},{""load"":165,""success"":true}]","",RX,PR
11/15/2025,"Bench Press 5x8","Bench Press for load: #1: 8 reps #2: 8 reps #3: 8 reps #4: 8 reps #5: 8 reps",85,"85","Load","Bench Press","[{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":75,""success"":true},{""load"":75,""success"":true}]","6 reps ",SCALED,
11/15/2025,"Overhead Squat 5x5","Overhead Squat for load: #1: 5 reps #2: 5 reps #3: 5 reps #4: 5 reps #5: 5 reps",75,"75","Load","Overhead Squat","[{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":75,""success"":true},{""load"":65,""success"":true}]","",SCALED,PR
11/18/2025,"Bench Press 3x8","Bench Press for load:  #1: 8 reps #2: 8 reps #3: 8 reps * Working from you 70-80% range*1-1:30 REST",85,"85","Load","Bench Press","[{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true}]","",RX,
11/18/2025,"DB Z-Press 4x8","DB Z-Press for load: #1: 8 reps #2: 8 reps #3: 8 reps #4: 8 repsSuperset: :30 seconds Hollow Hold:30 seconds Alt. Superman6/6 Single DB Single Arm Tricep KickbackREST 1 Min after superset",50,"50","Load","DB Z-Press","[{""load"":20,""success"":true},{""load"":20,""success"":true},{""load"":50,""success"":true},{""load"":20,""success"":true}]","",RX,
11/18/2025,"Bench Press 2x12","Bench Press for load: #1: 12 reps #2: 12 reps   *Near FAILURE for both lifts have a spotter*  2-3 min REST",75,"75","Load","Bench Press","[{""load"":65,""success"":true},{""load"":75,""success"":true}]","",RX,
11/25/2025,"DB Floor Press","DB Floor Press*Near FAILURE*  3 Sets 8-15 Reps (find a load to make this happen)  Superset: MAX time: HOLLOW HOLD  2-3 min REST",25,"25","Load","","[{""load"":25,""success"":true},{""load"":25,""success"":true},{""load"":25,""success"":true}]","",RX,
11/25/2025,"Deadlift 4x10","Deadlift for load: (off 45s plate on each side)  #1: 10 reps #2: 10 reps #3: 10 reps #4: 10 reps   2-3 Mins REST 6-8 RPE off 45s plate on each side",135,"135","Load","Deadlift","[{""load"":115,""success"":true},{""load"":135,""success"":true},{""load"":135,""success"":true},{""load"":135,""success"":true}]","",RX,
11/25/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",330,"5:30","","","[{""secs"":30,""mins"":5}]","",SCALED,
11/25/2025,"Deadlift 4x8","Deadlift for load: #1: 8 reps #2: 8 reps #3: 8 reps #4: 8 reps   * * Working from your 70-80% range*Superset:14 Hanging Knee Raise from the Rig14 Supermans 1-1:30 REST",155,"155","Load","Deadlift","[{""load"":155,""success"":true},{""load"":155,""success"":true},{""load"":155,""success"":true},{""load"":155,""success"":true}]","",RX,
11/29/2025,"Class Times","Reminder...Please sign up at least **2 hour** before class starts If no one is signed up the coach will not be there.7:00 am Weightlifting9:00 am Group Class",420,"7:00","","","[{""secs"":0,""mins"":7}]","",RX,
12/01/2025,"Deadlift 5x4","Deadlift for load: #1: 4 reps #2: 4 reps #3: 4 reps #4: 4 reps #5: 4 reps    * * Working from your 80-85% range*Superset::30 Hollow Hold1-1:30 REST",205,"205","Load","Deadlift","[{""load"":205,""success"":true},{""load"":205,""success"":true},{""load"":205,""success"":true},{""load"":205,""success"":true},{""load"":205,""success"":true}]","",RX,
12/01/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
12/01/2025,"Deadlift 4x8","Deadlift for load: (off 45s plate on each side)  #1: 8 reps #2: 8 reps #3: 8 reps #4: 8 reps 3 Mins REST 6-8 RPE off 45s plate on each side or off the low jerk blocks 2in or 6in",115,"115","Load","Deadlift","[{""load"":115,""success"":true},{""load"":115,""success"":true},{""load"":115,""success"":true},{""load"":115,""success"":true}]","",RX,
12/08/2025,"Deadlift 5x4","Deadlift for load: #1: 4 reps #2: 4 reps #3: 4 reps #4: 4 reps #5: 4 reps   * * Working from your 85% range*Superset::30 Hollow Hold1:30-2:00 REST",215,"215","Load","Deadlift","[{""load"":215,""success"":true},{""load"":215,""success"":true},{""load"":215,""success"":true},{""load"":215,""success"":true},{""load"":215,""success"":true}]","",RX,PR
12/08/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",330,"5:30","","","[{""secs"":30,""mins"":5}]","",SCALED,
12/16/2025,"Bench Press 6x3","Bench Press for load: #1: 3 reps #2: 3 reps #3: 3 reps #4: 3 reps #5: 3 reps #6: 3 reps    * * Working from your 85-90% range*1:30 Rest",115,"115","Load","Bench Press","[{""load"":115,""success"":true},{""load"":115,""success"":true},{""load"":115,""success"":true},{""load"":115,""success"":true},{""load"":115,""success"":true},{""load"":115,""success"":true}]","",RX,PR
12/16/2025,"Bench Press 4x4","Bench Press for load: (Drop Set: 10-20lbs) #1: 4 reps #2: 4 reps #3: 4 reps #4: 4 reps   Superset: 20 Windshield Wipers  1:30 REST",95,"95","Load","Bench Press","[{""load"":95,""success"":true},{""load"":95,""success"":true},{""load"":95,""success"":true},{""load"":95,""success"":true}]","",RX,PR
12/16/2025,"Finisher","AMRAP x 6 mins6 DB Curls6 DB Tricep Kickbacks6 Seated DB Hammer Curls6 Double DB Snatch",20,"20","Load","","[{""load"":20,""success"":true}]","",RX,
01/05/2026,"Finisher","AMRAP x 5 mins6 Goblet Squats (53/44)6 Push-ups",5.001,"5+1","Rounds + Reps","","[{""rnds"":5,""reps"":1}]","",RX,
01/05/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
01/07/2026,"Behind the neck Push Press 3x5","Behind the neck Push Press for load: From the Rack #1: 5 reps #2: 5 reps #3: 5 reps  Please read the notes there is a video",95,"95","Load","Behind the neck Push Press","[{""load"":85,""success"":true},{""load"":95,""success"":true},{""load"":95,""success"":true}]","",RX,PR
01/07/2026,"Snatch 5-3-2-2-3-3-5","Snatch for load: #1: 5 reps @ 40% #2: 3 reps @ 50% #3: 2 reps @ 60% #4: 2 reps @ 60% #5: 3 reps @ 50% #6: 3 reps @ 50% #7: 5 reps @ 45%  Please read notes. Click prepare and read athletes notes:",55,"55","Load","Snatch","[{""load"":35,""success"":true},{""load"":45,""success"":true},{""load"":55,""success"":true},{""load"":55,""success"":true},{""load"":55,""success"":true},{""load"":55,""success"":true},{""load"":55,""success"":true}]","",RX,PR
01/07/2026,"Finisher","AMRAP x 6 mins6/6 KB Bent Over Gorilla Row (44/35)6 Over Head Squat (45/35)",6.012,"6+12","Rounds + Reps","","[{""rnds"":6,""reps"":12}]","26lb",SCALED,
01/07/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
01/08/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",555,"9:15","","","[{""secs"":15,""mins"":9}]","",RX,
01/10/2026,"Class Times","Reminder...Please sign up at least **2 hour** before class starts If no one is signed up the coach will not be there.7:00 am Weightlifting9:00 am Group Class",540,"9:00","","","[{""secs"":0,""mins"":9}]","",RX,
01/10/2026,"KALSU","For Time• 100 Thrusters (135/95 lb)• 5 Burpees to start and at the top of every minuteStart with 5 burpees. Then complete as many thrusters as possible until the minute is up. At the top of the minute (1:00) complete another 5 burpees. Repeat each minute until 100 total thrusters are completed.Score is the total time it takes to complete all 100 thrusters.",1551,"25:51","","","[{""secs"":51,""mins"":25}]","55lbOnly did 25 burpeesI hate whoever added burpees ",SCALED,PR
01/12/2026,"Bench Press 3x5","Bench Press for load: 60%-80% #1: 5 reps #2: 5 reps #3: 5 reps  Superset: 1 min Hollow Hold:30 Max Cal Sprint 2 REST",95,"95","Load","Bench Press","[{""load"":95,""success"":true},{""load"":95,""success"":true},{""load"":95,""success"":true}]","",SCALED,PR
01/12/2026,"Good Morning 5x3","Good Morning for load: (20 Mins to complete) #1: 3 reps #2: 3 reps #3: 3 reps #4: 3 reps #5: 3 reps  Superset: 4 sets only :15 2 KB Waiter hold 1:30 second Rest after superset  Please read notes. Click prepare and read athletes notes:",85,"85","Load","Good Morning","[{""load"":55,""success"":true},{""load"":75,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true}]","",SCALED,PR
01/12/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
01/15/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",330,"5:30","","","[{""secs"":30,""mins"":5}]","",RX,
01/15/2026,"Overhead Squat 3x3","Overhead Squat for load: (Coming from the ground) #1: 3 reps #2: 3 reps #3: 3 reps  Accessory work to help support the Snatch work",55,"55","Load","Overhead Squat","[{""load"":55,""success"":true},{""load"":55,""success"":true},{""load"":55,""success"":true}]","",SCALED,PR
01/17/2026,"Back Squat 5x5","Back Squat for load: #1: 5 reps #2: 5 reps #3: 5 reps #4: 5 reps #5: 5 reps",145,"145","Load","Back Squat","[{""load"":125,""success"":true},{""load"":125,""success"":true},{""load"":125,""success"":true},{""load"":145,""success"":true},{""load"":145,""success"":true}]","",RX,PR
01/17/2026,"Class Times","Reminder...Please sign up at least **2 hour** before class starts If no one is signed up the coach will not be there.7:00 am Weightlifting9:00 am Group Class",420,"7:00","","","[{""secs"":0,""mins"":7}]","",RX,
01/17/2026,"Overhead Squat 5x5","Overhead Squat for load: #1: 5 reps #2: 5 reps #3: 5 reps #4: 5 reps #5: 5 reps",65,"65","Load","Overhead Squat","[{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":45,""success"":true},{""load"":45,""success"":true},{""load"":45,""success"":true}]","",RX,
01/17/2026,"Power Snatch 8x2","Power Snatch for load: #1: 2 reps #2: 2 reps #3: 2 reps #4: 2 reps #5: 2 reps #6: 2 reps #7: 2 reps #8: 2 reps",55,"55","Load","Power Snatch","[{""load"":55,""success"":true},{""load"":55,""success"":true},{""load"":55,""success"":true},{""load"":55,""success"":true}]","",RX,PR
01/17/2026,"Sots Press 5x5","Sots Press for load: #1: 5 reps #2: 5 reps #3: 5 reps #4: 5 reps #5: 5 reps",35,"35","Load","Sots Press","[{""load"":35,""success"":true},{""load"":35,""success"":true},{""load"":35,""success"":true},{""load"":35,""success"":true},{""load"":35,""success"":true}]","",RX,PR
01/19/2026,"Brown Sugar","400m + Squat400m Bike or Row (alt. each set)Back Squat (135/95lb)20-19-18-17-16-15-14-13-12-11-10-9-8-7-6-5-4-3-2-1",3100,"51:40","","","[{""secs"":40,""mins"":51}]","75lb squats250m row  x 19250m bike x 1",SCALED,
01/19/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank youMLK DAY8:00 am9:15 am",555,"9:15","","","[{""secs"":15,""mins"":9}]","",RX,
02/16/2026,"Check your Shoulders!!!","For Time10 Power Clean (135/95)5 Devils press (50/35)40 Push Jerks (135/95)5 Devils press40 Toes To Bar5 Devils Press25 min Time Cap",858,"14:18","","","[{""secs"":18,""mins"":14}]","",SCALED,
02/16/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
02/19/2026,"Deadlift 6-5-4-3-2-1","Deadlift for load: #1: 6 reps @ 70% #2: 5 reps @ 75% #3: 4 reps @ 80% #4: 3 reps @ 85% #5: 2 reps @ 90% #6: 1 rep @ 95%",185,"185","Load","Deadlift","[{""load"":155,""success"":true},{""load"":165,""success"":true},{""load"":175,""success"":true},{""load"":185,""success"":true}]","",SCALED,PR
02/19/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
02/19/2026,"Bench Press 4x6","Bench Press for load: #1: 6 reps #2: 6 reps #3: 6 reps #4: 6 reps",105,"105","Load","Bench Press","[{""load"":105,""success"":true},{""load"":105,""success"":true},{""load"":105,""success"":true},{""load"":105,""success"":true}]","Failed at 4 reps ins Set 3,4",RX,
